 epocs = 310 : eta = 0.015 : sample div factor = 0.8 : Architecture 57 : 40 : 30 : 1
epoc,error_test,error_validate,total_mispredictions
0,775.0178112004127,131.1185588857526,143.0,
1,395.63527585163433,108.20144886836749,121.0,
2,341.1902389266453,100.71200077120838,113.0,
3,328.8293074784578,105.5698456345159,131.0,
4,317.34813844872417,99.60462462509463,105.0,
5,287.2935734580932,97.70362160586625,97.0,
6,276.3435836763488,96.45944234536465,96.0,
7,258.87823001132165,94.8030689258967,99.0,
8,254.87495971880105,93.03404191434188,101.0,
9,244.1666699219892,94.80090311425788,91.0,
10,233.8679107737384,94.22928427796268,86.0,
11,229.15886019722004,95.40086967746679,79.0,
12,222.23753628834965,93.40954199984478,82.0,
13,216.51639934736875,92.96946533289352,78.0,
14,215.8018299335255,95.0559553260661,77.0,
15,206.93138571563804,94.75421106216783,74.0,
16,200.4011864572778,96.23311491914136,75.0,
17,200.67210822221455,96.93026984796664,74.0,
18,194.05411953735134,97.55676222948341,76.0,
19,192.76093635624312,97.51726204662867,75.0,
20,187.2449612553354,97.12687461768182,73.0,
21,181.42848043471125,98.79246460299542,76.0,
22,176.91944084914346,98.79568977110013,79.0,
23,179.85778486900375,99.44664256046592,73.0,
24,178.89187543948998,101.1074223360475,76.0,
25,176.54462929731602,96.02597772187312,76.0,
26,173.34581652272303,98.78635392430866,75.0,
27,171.27523100345147,96.65123999362996,76.0,
28,168.2040083523887,94.99895837528315,81.0,
29,176.78861362413224,92.51152786250142,86.0,
30,176.40320869553253,92.41372509156301,87.0,
31,172.23260974498376,91.82025509133435,90.0,
32,162.3524909065062,92.99611156979454,80.0,
33,156.71704745045693,94.12225794208389,87.0,
34,162.6975361912825,90.44277441212456,84.0,
35,154.52007829623872,94.76096132334132,83.0,
36,149.33422522877981,93.85412754391695,82.0,
37,151.94826696438378,89.56896508223801,87.0,
38,152.32658194878513,89.81735611009826,83.0,
39,158.9089414602845,92.27001884227744,88.0,
40,147.49241025870063,89.18166556224254,90.0,
41,145.97322050254863,90.78163576141048,88.0,
42,155.86202028987358,94.64293416631348,86.0,
43,142.5583549265969,88.04805264021275,85.0,
44,134.10145555702098,91.7776990186081,91.0,
45,140.03819900930495,89.55911826397394,91.0,
46,141.90971514477627,96.15394268767471,108.0,
47,141.44451381946746,87.44488279533647,95.0,
48,135.2261463317008,84.71041577150179,87.0,
49,130.0829405413384,85.49754694422687,89.0,
50,136.16144357032732,87.41808307549003,93.0,
51,135.70876744415335,87.88822484175721,87.0,
52,124.88802363260831,84.92732635695563,85.0,
53,124.30347556337223,83.2716848278112,84.0,
54,123.00011123458094,83.54764170132039,85.0,
55,132.61995813837737,85.61827817793753,78.0,
56,132.8756169778682,81.86158452347875,84.0,
57,144.30334095513862,81.25228618148174,85.0,
58,134.55172220596208,82.55810939340391,90.0,
59,147.1393424845287,83.53403605106872,89.0,
60,138.03195996748565,83.11749457816202,84.0,
61,124.72917114166741,84.29453868015482,82.0,
62,122.9536502663089,78.33730260042623,81.0,
63,116.99426334524553,76.79892252228856,78.0,
64,115.80896175777706,77.45808155786965,79.0,
65,119.47668844740673,79.10312708214416,76.0,
66,123.99035972695138,77.52993733460391,70.0,
67,120.77248599985694,78.68203219610817,75.0,
68,120.7809611817585,78.52721404053013,73.0,
69,118.5464428213681,77.69299335134498,72.0,
70,113.18049736791136,79.16082850095106,71.0,
71,123.50690774463743,76.99799668635912,71.0,
72,107.23518381435969,78.34954373813007,70.0,
73,107.91773180888555,77.17298624828351,72.0,
74,104.14828443789874,76.85254866236798,73.0,
75,100.34930129573658,74.6284814688511,76.0,
76,100.7925164508518,75.12605431576351,79.0,
77,99.0339635901721,74.9363517582057,74.0,
78,96.72493857657331,74.96914868180032,74.0,
79,97.59381263180727,74.49518317650252,76.0,
80,94.64717130174012,74.90610139657139,78.0,
81,94.83749590676003,75.84833971091338,71.0,
82,98.1748625471195,75.17712021064716,74.0,
83,94.70290203219504,74.74990209250515,72.0,
84,92.69693671019571,74.1400919437459,72.0,
85,90.1417265110156,74.15254306198223,71.0,
86,90.32435683584703,74.16980736084231,73.0,
87,87.7979886311458,74.25229216644057,72.0,
88,89.5416412963846,74.26867121386107,74.0,
89,85.73344370307343,74.63357998773664,72.0,
90,86.43913471317578,74.2970740594155,72.0,
91,85.45610672308194,73.8881342328315,71.0,
92,85.10426317129522,73.90756899728298,73.0,
93,84.33547042710018,73.91962148345712,72.0,
94,83.29561082779949,74.92608637792038,74.0,
95,84.74772414126844,73.75365199982825,74.0,
96,85.95291886287964,74.33793347938446,74.0,
97,90.00807236322572,73.4908799688125,74.0,
98,86.77970756481749,73.84866145878804,78.0,
99,94.85163730666973,76.92370385454994,77.0,
100,89.03108357679449,74.3410543534618,73.0,
101,83.20196990387893,74.25616812792215,74.0,
102,81.75154912799677,74.53129691063089,75.0,
103,79.9838688335756,75.0121782335641,74.0,
104,79.95650243668177,74.48326946756168,72.0,
105,77.8120180283691,74.01009244402643,74.0,
106,79.15086078189104,74.58878611606843,75.0,
107,77.50644527014401,74.21485683163792,75.0,
108,76.50254654064906,74.86770414801097,75.0,
109,77.36101446533239,73.38368720029297,72.0,
110,76.50554073137467,75.00426656516126,75.0,
111,78.19290097699606,73.59738765572297,72.0,
112,75.93623447617803,74.41335702834797,74.0,
