 epocs = 310 : eta = 0.015 : sample div factor = 0.8 : Architecture 57 : 40 : 10 : 1
epoc,error_test,error_validate,total_mispredictions
0,939.9194883017019,145.40769026619805,156.0,
1,436.250511592705,113.68980616819226,150.0,
2,362.0122132617879,101.98132082389927,135.0,
3,330.6382985024495,94.89846364230131,134.0,
4,315.4963016980696,93.92121620518125,124.0,
5,300.556181997686,92.31723566807615,109.0,
6,290.46946769965115,89.24498507756456,124.0,
7,280.08562522442116,89.09928898817141,125.0,
8,269.64117713631015,89.60011058608782,131.0,
9,261.5704539223625,85.77268471438558,118.0,
10,253.89050109961693,86.46185199111837,122.0,
11,250.53911839639915,85.1782676323957,120.0,
12,239.31747008483336,85.95858983721678,110.0,
13,236.13156356271395,86.34411815645097,123.0,
14,226.21117889400054,84.6323337007207,110.0,
15,219.6123125621221,85.67029210967424,114.0,
16,220.8638166502804,83.0912326136745,106.0,
17,215.7645825070872,82.17726216036507,106.0,
18,217.28484789820087,82.56487583387995,102.0,
19,210.83552270110962,80.71985306670159,97.0,
20,208.93865029157013,84.0531462069054,106.0,
21,199.6917571469203,79.83475619299269,99.0,
22,204.13339157676734,83.40194020860758,101.0,
23,218.39314042702526,83.18835205460061,116.0,
24,211.6790590731817,86.85451634972853,114.0,
25,205.833533382581,80.80849469377875,107.0,
26,195.91928633985364,84.15453723482968,99.0,
27,194.7858149321284,79.53368067044912,88.0,
28,198.02078651647727,82.21213909217909,95.0,
29,184.99331865052818,79.67024482150264,92.0,
30,186.96662740404258,78.49447556310554,91.0,
31,178.1643855700019,81.75382090488341,98.0,
32,170.56473898310006,81.43949968976786,95.0,
33,174.1366307419944,83.79575969801029,104.0,
34,187.2619160736642,84.6700785718473,105.0,
35,163.2588178546711,84.3697266307034,97.0,
36,167.59515602383175,79.1733700667102,82.0,
37,187.42601622960248,82.07910901943767,96.0,
38,177.53370745446267,81.73240929716683,96.0,
39,162.57203044840693,78.90853546985666,91.0,
40,148.57746925238655,79.56113933800843,97.0,
41,155.2584340105008,82.04276388052243,98.0,
42,150.32353957038598,78.38406076293349,99.0,
43,154.51189010964458,82.0973924967436,95.0,
44,150.86479334552072,81.83400568681037,96.0,
45,141.10999617158458,78.89212836464858,99.0,
46,146.33270445358292,81.68382857043262,98.0,
47,137.01489932047895,78.50654422529405,98.0,
48,133.54310988381584,80.34490125161733,97.0,
49,138.60364856118608,80.54554263768242,103.0,
50,140.04203332608395,78.90356529333165,80.0,
51,132.67865994680147,79.696173100468,93.0,
