 epocs = 310 : eta = 0.015 : sample div factor = 0.8 : Architecture 57 : 40 : 57 : 1
epoc,error_test,error_validate,total_mispredictions
0,729.4388871298429,131.18169337865893,154.0,
1,413.42995612507315,105.85041406532123,135.0,
2,356.8143003245693,99.35182513512896,159.0,
3,327.1214772472019,98.1407383193703,163.0,
4,309.87446582775465,96.35718826229574,150.0,
5,299.8885630946114,92.25043229145264,132.0,
6,281.4071411598597,89.5151833147877,129.0,
7,271.3140118598714,88.25460428541453,125.0,
8,260.54024038972216,87.12652220394263,115.0,
9,251.23724081675488,85.72512321160438,107.0,
10,239.5940671019771,85.31809171535394,94.0,
11,235.97545218316714,97.51856066258829,77.0,
12,230.25041511956474,83.67065093689041,92.0,
13,221.011692823324,98.65965283997164,75.0,
14,210.40484552138162,103.94079600214515,73.0,
15,203.91681948337632,101.61755062638305,74.0,
16,198.71946070606432,103.15807612394154,73.0,
17,200.03221756643774,98.34554111035011,75.0,
18,193.01754983222125,97.77796840233007,78.0,
19,187.8353906779731,95.57286563921892,76.0,
20,181.7113463771486,93.54108144912382,73.0,
21,180.78916224286698,96.39321883923246,82.0,
22,176.32501191012386,91.44049895469941,74.0,
23,171.70157254896552,92.49077139550155,80.0,
24,170.72474852254464,94.0026832940904,75.0,
25,166.64560215801595,91.90279621053133,79.0,
26,158.62464842260474,87.40899533241142,83.0,
27,153.94270434591843,89.47794755687794,77.0,
28,155.38605265183293,85.58237512361444,77.0,
29,148.87545438059323,87.57158100830851,77.0,
30,143.40527271546964,87.32640486507526,76.0,
31,142.18229936105254,85.40714968519816,80.0,
32,139.65264830252744,84.33401368479123,80.0,
33,142.70228920966446,87.07128659068043,78.0,
34,136.88011330664597,83.28401040062337,82.0,
35,131.1306061833291,87.37366281984104,81.0,
36,130.7508645743561,81.75819180173083,79.0,
37,127.20378117909411,80.55958474553039,84.0,
38,126.01652089624936,87.43102548023442,82.0,
39,122.62916495748337,85.26366537132729,82.0,
40,120.16885280005015,81.5394351379911,81.0,
41,118.73240640720194,80.95117317013751,82.0,
