 epocs = 310 : eta = 0.015 : sample div factor = 0.8 : Architecture 57 : 10 : 40 : 1
epoc,error_test,error_validate,total_mispredictions
0,889.8507070221636,154.44913697513832,159.0,
1,457.49251709688684,115.81771562141779,102.0,
2,377.915937690823,107.84376341439389,90.0,
3,358.47744850154385,101.98871942068733,93.0,
4,344.6082442864137,99.30774304630152,94.0,
5,334.19301547386624,100.91217158177423,101.0,
6,327.63685887933167,96.11001824670949,95.0,
7,321.69179028292655,96.87884085255548,103.0,
8,311.4227084521381,95.7050921391222,111.0,
9,302.63735729788556,95.27589283523426,105.0,
10,298.08290501562493,95.56699569380764,106.0,
11,293.79006177793013,96.18548041013271,107.0,
12,286.5924519618234,94.41469941354507,105.0,
13,280.8663462868596,95.81567878508288,104.0,
14,275.40477627338225,94.70408673014522,110.0,
15,269.2184901846259,92.20401245678512,102.0,
16,259.5348461511882,93.15965521412856,100.0,
17,255.98944623258328,90.21849188677302,102.0,
18,251.50051169406595,91.3364091074419,103.0,
19,246.04124028686607,89.20188595469605,100.0,
20,242.2221183060396,88.3608173128578,101.0,
21,240.46736388497948,90.83469897656019,104.0,
22,235.8665211669866,87.54525590194517,99.0,
23,226.35676958138905,86.74613061253135,95.0,
24,226.3380347113864,82.6138966824586,105.0,
25,219.37013553524395,88.10767233394544,109.0,
26,226.80363312900857,83.39930987541105,100.0,
27,214.61659401170348,85.74174285525146,107.0,
28,205.32201232797635,85.88634983833037,105.0,
29,203.40518285067665,85.82081660159986,106.0,
30,202.98097241761764,86.84019175415398,108.0,
31,199.59110181285195,88.55893243441703,112.0,
32,212.2796425511523,83.41262444123198,105.0,
33,198.90710312875115,86.8912097835543,111.0,
34,201.45126771283904,89.80264216911398,102.0,
35,209.59630989414774,88.60038726086779,113.0,
36,200.69468316358365,84.79426740228894,106.0,
37,194.3219192009443,83.47524830646928,102.0,
38,189.37269578334767,83.76596868754429,103.0,
39,181.38620491690125,84.05046352229195,98.0,
40,182.20216745382592,84.44250942114647,96.0,
41,183.78211725826998,83.75734516239528,101.0,
42,180.1089739264037,86.20094377875174,96.0,
43,182.43771478751074,81.83634634198468,95.0,
44,173.98819654923452,82.78938425083452,97.0,
45,171.07342706151067,81.23996684032161,95.0,
46,171.58973640434738,83.3581893076179,96.0,
47,169.91967105455478,81.27036771852141,94.0,
48,166.7834226104176,81.29667176463911,87.0,
49,161.4581572673637,84.81046588125457,102.0,
50,163.9225080904368,84.31738498356455,97.0,
51,172.14545368432584,82.58968254864689,93.0,
52,160.70466841536177,82.09066286565862,99.0,
53,159.2156064191403,85.85168608287962,98.0,
54,163.68709209840424,85.56567359918463,97.0,
55,148.75225935601765,86.36783929578272,90.0,
56,161.0763175107239,91.79340290573434,111.0,
57,154.3432703713436,86.67581989910774,92.0,
58,151.13890023412267,85.84176548194877,98.0,
59,157.26815964526145,91.28677523426892,105.0,
60,158.4248858534432,87.72191135231687,103.0,
61,149.3941552751495,85.65411812954912,99.0,
62,146.15319045547474,91.86160483479247,98.0,
63,156.18601896505749,90.01619415659732,90.0,
64,156.7608045653949,86.41817318755838,88.0,
65,150.36835669338006,83.40093414484654,92.0,
66,145.3662800551073,82.34525445390194,89.0,
67,140.45035359463463,83.77954538008929,90.0,
68,149.36047365744278,83.92185171798364,85.0,
69,150.01098449321708,91.23975377810446,99.0,
70,143.7535555283973,82.91770991333557,80.0,
71,135.77035297229216,84.84926376203903,86.0,
72,135.12535325502284,84.84453845276774,84.0,
73,133.69456155632844,85.96125811856498,99.0,
74,133.3518312159244,90.5395929847151,88.0,
75,152.59457016780138,81.22447220032412,86.0,
76,131.54386011819741,80.82431890353726,82.0,
77,131.17574598594618,86.77053008849931,99.0,
78,137.5337646052369,85.60920891863489,93.0,
79,127.73166828191903,85.26279951812671,91.0,
80,123.63397784119279,84.57232598137811,90.0,
81,127.89381544711014,82.96227510014496,83.0,
82,136.90523538907135,83.60255479193906,91.0,
83,130.30976516232292,82.06770940462464,82.0,
84,123.80733942525781,83.2597810940873,81.0,
85,131.77635624053156,80.18873570737641,81.0,
86,129.59154576818463,85.72508114443617,76.0,
87,116.42452501387669,81.10883207547586,78.0,
88,121.83468892816997,83.01738968453509,83.0,
89,126.2861157449265,82.23211422523562,89.0,
90,118.45820080229494,83.94764871025427,83.0,
91,125.82811691346745,81.03545722630419,84.0,
92,115.0793464800698,82.48059869295999,76.0,
93,136.05977621035683,79.91452177337786,81.0,
94,134.7385655105688,81.73189785546172,79.0,
95,125.77181995761173,79.48381101095508,82.0,
96,115.97591797787716,78.77749827281235,76.0,
97,116.63939831619254,82.13003743880063,80.0,
98,119.0010893253788,80.47216468323575,73.0,
99,118.65793550204103,78.21282624672897,71.0,
100,109.09699938723553,78.54148517100633,70.0,
101,111.49214088276803,78.52864549998775,73.0,
102,108.7716753235913,77.02181246387492,73.0,
103,109.85236971899413,79.26670000081377,75.0,
104,113.37052654699869,77.76772707897022,72.0,
105,113.02586837691956,77.8447931170758,74.0,
106,106.65220814330752,79.070578507606,79.0,
107,107.6919095491091,79.57390773393428,74.0,
108,103.04267209299361,79.20113435125903,72.0,
109,111.97028918589548,76.57503513692664,70.0,
110,104.79563086905769,77.35175460451192,74.0,
111,102.18383438515494,75.93101318446314,73.0,
112,101.44293782270478,75.72700928810634,73.0,
113,104.96797855327317,76.09528525488389,72.0,
114,109.53298209224263,76.41387045424197,73.0,
115,111.05577665575802,74.80936016842335,68.0,
116,105.70504684899164,76.4245278933187,71.0,
117,108.09950357834252,75.42480725054938,76.0,
118,111.78652605138798,75.39879269463904,72.0,
119,111.90852093268552,74.70087731553326,77.0,
120,105.51217349531598,77.15072078707745,82.0,
121,111.04813783519117,72.55522820789425,74.0,
122,116.31196909784393,75.3428476728535,75.0,
123,119.35070718328267,75.30411147014227,77.0,
124,109.63529467603979,73.55702895760588,72.0,
125,103.19655561923294,76.96245938312033,74.0,
126,101.72451095199634,77.64877070747558,76.0,
127,109.95391479666473,78.08401633418595,83.0,
128,109.4049241096475,80.19470495037561,77.0,
129,104.25410157110177,74.85570122615088,75.0,
