 epocs = 310 : eta = 0.015 : sample div factor = 0.8 : Architecture 57 : 35 : 40 : 1
epoc,error_test,error_validate,total_mispredictions
0,755.6153101725733,130.5162022836059,192.0,
1,412.82832827183,107.1715817937938,144.0,
2,352.87898738912804,100.77976392453076,136.0,
3,330.21884221558565,97.78922902377946,129.0,
4,308.3549556473291,96.36104522805798,121.0,
5,292.4383060627709,94.27965328023072,115.0,
6,279.94425484530126,95.15855212728286,109.0,
7,269.3745724333518,97.90802941117128,102.0,
8,259.64122816181265,95.24009723174197,98.0,
9,250.2961925344215,96.19829391793971,89.0,
10,244.83195443027665,95.3092663202172,90.0,
11,238.51839934559726,97.91450637708664,87.0,
12,234.18442861081502,95.84875027766655,89.0,
13,226.81178588705384,93.46246013044035,85.0,
14,218.93630340355503,93.46274361011943,84.0,
15,216.46228757058427,92.2399675443677,81.0,
16,212.15801749617728,92.24296300930396,86.0,
17,208.34022722722452,93.37322277687429,86.0,
18,200.72677040917972,91.17598943183954,84.0,
19,197.58153490344571,90.94481007600336,84.0,
20,189.7601860992928,92.97608221204415,87.0,
21,189.5967667384529,91.82373837046549,91.0,
22,184.59626828622947,92.90593267463973,81.0,
23,190.54576017894172,87.80843866300498,94.0,
24,181.4917206994511,88.25517128454914,96.0,
25,177.16342067621994,88.61037147578124,91.0,
26,185.15706680190917,85.9935987441769,95.0,
27,174.22677197579736,83.6427073325152,92.0,
28,170.2300644870729,83.7701479240769,85.0,
29,170.2781438819672,86.68765030292523,94.0,
30,164.98728950095148,82.67341532220668,85.0,
31,165.88007228493007,81.08377307256671,79.0,
32,164.01300285587928,83.9078558902923,84.0,
33,165.89242809254284,84.17610808463778,94.0,
34,166.67871053668128,83.02120021001072,99.0,
35,151.8558382275861,83.0198554428071,96.0,
36,143.45410704308526,81.17959963005055,83.0,
37,142.16766439240897,80.32130716898206,84.0,
38,142.687974288539,82.99154699103198,85.0,
39,146.7378163340208,81.62079618993018,93.0,
40,172.0814466443639,83.81313036685025,85.0,
41,146.38922783798571,83.3001548877262,90.0,
42,139.19828070984002,81.62747689450165,86.0,
43,134.85281235594167,81.03456864474718,93.0,
44,139.2502278318364,82.16423031316704,85.0,
45,132.55074938276877,80.12249419040546,92.0,
46,132.15406141398608,81.17959403814986,88.0,
47,128.50023327476916,77.47125146230543,80.0,
48,120.0595619376595,78.55206205393557,79.0,
49,120.373733200206,78.14976023180557,81.0,
50,118.83989245540624,78.71665020812173,82.0,
51,118.76950194763965,76.84483174014584,79.0,
52,114.94232914725397,77.160651343354,79.0,
53,112.71537624786235,76.33567717201691,79.0,
54,115.94128176653314,78.90758354332007,79.0,
55,125.0030736598918,82.55739545572568,94.0,
56,122.53786827653818,76.85948126514066,80.0,
57,114.74518076529927,76.18065000679718,78.0,
58,112.95787017306456,74.9233061745841,73.0,
59,112.02193384078711,79.24926503267044,79.0,
60,111.60334449893786,75.05850553091037,76.0,
61,121.92220261171843,80.59747324543534,84.0,
62,116.61097221838165,77.59784976830058,78.0,
63,120.50740464805664,80.18782269225638,84.0,
64,131.4878125559227,75.96442837512986,78.0,
65,131.2475051415696,78.65658145523714,78.0,
66,124.98374050582265,80.73570276621776,84.0,
67,122.01176335115605,75.95461199536052,76.0,
68,118.67173896375593,74.10239898734316,76.0,
69,116.20500184705857,75.94112905209822,83.0,
70,110.12833783830345,73.11217309331825,76.0,
71,109.99467149903484,77.03359144760883,83.0,
72,115.43929714749488,74.07116319432457,79.0,
73,102.69085903909995,74.0738850595458,78.0,
74,101.91957400623647,73.47190961555013,82.0,
75,110.6917671588082,77.02109104161771,83.0,
76,101.15226733831652,73.23084735263747,75.0,
77,112.70962351758298,71.68960206110052,82.0,
78,112.41524354264702,74.63248498015102,77.0,
79,101.50852281167019,75.13317616104393,81.0,
80,104.25057647291258,74.2317004326517,81.0,
81,96.00285091620982,71.07021783840548,79.0,
82,99.35007497036123,70.24904914016238,69.0,
83,100.28248751122861,73.21762814478201,82.0,
84,96.09111721109225,69.88306284143493,72.0,
85,91.68699066291629,69.71327273647229,73.0,
86,103.54777233562481,75.83739594765092,83.0,
87,100.48424598133097,71.28965500720544,70.0,
88,89.51351879011578,69.85873960616189,73.0,
89,98.29739752665276,74.44662929963323,76.0,
90,101.62984905662279,71.9369894697127,76.0,
91,104.84226514184775,72.57139030391436,81.0,
92,101.05362726590799,74.94442532154017,70.0,
93,107.44557487502334,73.49066776260985,73.0,
94,123.23669216481224,78.5465893796788,80.0,
95,110.80353115353428,74.13186189435254,78.0,
96,102.72753507310598,72.26747136876831,79.0,
97,98.02036953099152,71.80308382175849,79.0,
98,105.27132606690525,70.02126609810183,75.0,
99,100.85107342711288,71.41496977682523,70.0,
100,108.09514104325794,71.39352456417762,74.0,
101,109.12688027363075,73.00764273768996,82.0,
102,97.52889463598675,72.0089487630033,75.0,
103,97.13242271295641,72.47707989645602,80.0,
104,93.69736639238612,71.16105587342314,75.0,
105,88.63131065492583,70.49787257712329,75.0,
106,86.85033032141615,70.21108080567481,77.0,
107,90.15510584796965,70.75525705763442,75.0,
108,85.91438094058853,70.84094500577156,74.0,
109,91.70536271554172,73.08327097410724,76.0,
110,93.6686349549223,72.31017420487169,78.0,
111,85.35872805629305,70.81241704196327,71.0,
112,82.07258375665616,70.8810229396661,74.0,
113,90.47546814667362,71.11025208215224,76.0,
114,94.64436648161903,72.21484931731469,79.0,
115,96.68098013171787,74.57277357232383,73.0,
116,91.34036375780687,74.3477568460293,77.0,
117,90.79997431686034,75.53945116473592,81.0,
118,82.02445818498748,72.97782285019936,72.0,
119,79.44548701251969,72.54193487316218,75.0,
120,86.51511305861408,72.08064072442028,75.0,
121,80.46965648242407,73.5985166210171,82.0,
122,79.57936691444657,71.43177481774318,76.0,
123,77.02877157816938,71.33637689767721,74.0,
124,75.94728474201568,71.6221426514458,74.0,
125,75.12751311807476,70.89559086952764,73.0,
126,82.92798454603596,72.13179455614836,77.0,
127,80.00716086772744,72.20265871897324,74.0,
128,97.32146436827625,76.54786692184013,85.0,
129,100.61963453245338,77.12147177150459,95.0,
130,88.17576430566426,76.71137429238311,89.0,
131,89.11179428361106,72.9856084346839,78.0,
132,83.74057627377712,72.3780372964342,73.0,
133,81.96946608956421,71.50180173590111,73.0,
134,80.26460532629346,71.14126904551465,75.0,
135,78.96818429698801,71.30878871887585,73.0,
136,77.86831734280307,70.6336709085605,74.0,
137,76.45659948754037,70.42988318099611,73.0,
138,76.14431244992909,70.23091442675377,73.0,
139,80.46409642800012,71.1608695280075,73.0,
140,78.74358994478682,71.61513465299585,73.0,
141,77.4077196112434,71.43704521584088,73.0,
142,76.70617419325826,71.17434919599413,74.0,
143,76.12173193922114,70.92653171450769,72.0,
144,75.47097147316818,70.83126078478156,72.0,
145,80.83102691696281,70.06268211432734,74.0,
146,80.61363315227678,73.67614882539284,82.0,
147,80.15155830891659,71.31794076545614,75.0,
148,76.93905629405899,71.06067529372379,75.0,
149,76.08477503023562,70.98482179655068,75.0,
150,76.96398470205516,70.5628168412828,76.0,
151,76.60355301837576,70.50300508732307,75.0,
152,75.91568004728425,70.43719861848626,76.0,
153,75.57906732443298,70.17771373076276,75.0,
154,74.54477526564084,70.67798492976551,76.0,
155,77.4999378598936,70.5542468315833,74.0,
156,75.1898329679998,70.49339854422934,75.0,
157,73.86044751467072,70.45434746474255,74.0,
158,73.57520950996377,70.8136441547055,75.0,
159,77.54357415530804,69.53257921291022,74.0,
160,77.5962895231987,69.53205545815354,74.0,
161,88.52856926640001,75.24398629512925,77.0,
162,91.65604471046481,71.08436778848663,76.0,
163,92.76725031465602,69.76713155428726,77.0,
164,77.46763070174157,70.01607755310306,73.0,
165,78.3929138192662,70.05958192227816,72.0,
166,75.7327483229764,69.9039850216897,72.0,
167,80.74503192376741,68.51182149873506,69.0,
168,74.96151963860073,68.53427427029929,73.0,
