 epocs = 310 : eta = 0.015 : sample div factor = 0.8 : Architecture 57 : 40 : 40 : 1
epoc,error_test,error_validate,total_mispredictions
0,768.4605303646917,145.90754099365702,146.0,
1,436.0445094245314,117.76058772030851,139.0,
2,379.0502799601944,112.52241295242706,134.0,
3,346.11119764616825,111.64481051633842,124.0,
4,329.6115590599212,100.62545924581433,125.0,
5,305.4666186643327,99.96582097631935,127.0,
6,291.5483422536932,94.05118134163702,122.0,
7,278.3471811623039,93.03754668826365,113.0,
8,266.8722868907125,91.95587439200979,105.0,
9,256.9466256902591,90.72543540841559,103.0,
10,248.8430254170036,90.94854937928773,107.0,
11,238.3300859666571,88.52680872279836,100.0,
12,230.80691894246397,88.22621408853504,103.0,
13,222.9453341388661,87.76259327757772,98.0,
14,215.36443991326442,88.14362013884956,100.0,
15,208.61291925001197,89.12458258654597,102.0,
16,200.36960193231624,89.52016341356095,102.0,
17,197.0308702540071,88.83453016172604,101.0,
18,190.6824377431727,90.84984905488588,111.0,
19,184.9069675124788,87.86216623836182,100.0,
20,176.57522417642645,89.14800257588199,102.0,
21,171.6584767963975,88.09415879197053,104.0,
22,169.78817101136687,88.22982870203651,95.0,
23,162.50819279077473,87.78508045115191,99.0,
24,157.04682724061192,88.49537541049898,102.0,
25,150.08313130359693,87.2416829533088,93.0,
26,148.37286217005342,87.08127416788365,95.0,
27,159.99448220904657,85.63908530000815,96.0,
28,148.13658872525662,82.55786878173964,98.0,
29,148.57498692100685,84.24753992695962,98.0,
30,149.68282982036834,84.1474493816094,98.0,
31,139.14837637269505,82.71465955605314,92.0,
32,133.96696451782887,82.11885290905416,92.0,
33,131.46500079805926,83.8220787173312,97.0,
34,128.59331451383792,82.33156475104983,95.0,
35,126.92530048106742,84.82095584726642,95.0,
36,125.91910867663749,82.85658507304157,93.0,
37,124.98165791826341,85.33175105286537,93.0,
38,128.1447798521036,84.10504963410764,87.0,
39,124.81137333694933,83.77958735499341,83.0,
40,146.79408538585614,81.84481615424168,96.0,
41,130.95096293423458,79.15182758562351,89.0,
42,121.63860803460211,82.21337302972864,87.0,
43,122.21195149383527,80.61936407799264,83.0,
44,113.98122499630526,79.95494333010356,80.0,
45,110.8469095588757,78.99456609071332,80.0,
46,114.46866384906154,81.77467030516155,89.0,
47,111.80500625344692,80.30733055115294,83.0,
48,107.93884122702929,79.00602923515923,81.0,
49,110.57208641036218,77.11023134083662,78.0,
50,110.18439226665569,79.67872650509119,79.0,
51,104.91472904010554,78.65355575273067,77.0,
52,103.54459934938177,81.03727247644166,79.0,
53,102.58718526377565,80.44370243064684,78.0,
54,98.01127661416666,81.03761155796592,78.0,
55,95.70013140337514,82.1502505794898,81.0,
56,95.37975272145638,80.96703643914738,77.0,
57,91.91933401227651,80.34417607941852,77.0,
58,88.11235695423773,81.06055058195238,77.0,
59,92.50584488250858,78.74882598076813,78.0,
60,92.53956863720795,78.33205423576025,79.0,
61,90.71171113753448,79.28690691877773,87.0,
62,88.62210588159455,79.01742601397197,81.0,
63,88.373994888784,77.61506639059473,81.0,
64,88.48404536804321,77.38378141911703,78.0,
65,84.85996221338387,77.4484078668607,75.0,
66,84.82073005199985,78.48666116472417,83.0,
67,85.01964509619364,76.59657098182244,73.0,
68,81.57508013479251,77.20916577264511,79.0,
69,81.886007623565,76.71364095207056,79.0,
70,81.96074447087628,75.79596859831459,77.0,
71,80.54837708498545,76.22596622638792,78.0,
72,81.83827982415043,77.87874156508575,82.0,
73,80.73608223429919,75.92958925644469,76.0,
74,90.24194507658875,80.61203171562018,82.0,
75,97.75204713542692,77.21057165516851,74.0,
76,95.55649009997184,76.68890966510357,81.0,
77,95.0140613475833,79.02976144071893,78.0,
78,93.87266576304076,79.6553893523731,81.0,
79,92.6382095648671,78.43592645288872,82.0,
80,81.77499889468729,77.38240880598883,82.0,
81,81.08655714546519,74.22525982682923,75.0,
82,78.11216130157561,76.17489411767724,77.0,
83,79.01048169077553,76.39619922162495,78.0,
84,85.27209118486103,75.11301079490583,75.0,
85,79.44561482496856,74.4174937381343,78.0,
86,76.78105270128893,73.58205169270803,73.0,
87,74.89088792205624,74.31479548983843,77.0,
88,73.13167623186538,73.19989852858257,68.0,
89,75.07151060615604,74.92755543629,77.0,
90,76.15319886008999,73.39486010767114,78.0,
91,76.97006904018804,74.50227296554105,72.0,
92,78.77640315620077,73.48009249991762,81.0,
93,75.53449737624425,73.36655443069924,75.0,
94,74.88564288014936,74.72323654295077,75.0,
95,73.87441023187293,73.17289033287011,72.0,
96,71.91013781186322,72.93417045447133,71.0,
97,70.69125923884305,72.11594777260834,74.0,
98,70.71726179229263,72.59778382613138,71.0,
99,72.60873096995047,74.86248235256126,75.0,
100,73.28134101129905,73.55347076417407,73.0,
101,69.93146182311564,73.04072221326567,74.0,
102,71.17428302186039,73.60612123547153,70.0,
103,69.03810385325056,72.58714003481155,73.0,
104,68.59137059479934,71.28727754593356,73.0,
105,69.44292540055979,71.73356571503702,74.0,
106,70.13006931674302,73.2232376681253,73.0,
107,67.8990089460411,72.69415164402496,77.0,
108,68.88228313916814,71.94047744176555,71.0,
109,67.58740395069898,71.80384247733296,73.0,
110,69.70332800685196,71.50455129217575,75.0,
111,68.87575589559557,72.04162501975055,76.0,
112,68.06198615572315,71.92735414180353,73.0,
113,71.66153194959124,72.63557855506927,76.0,
114,67.62518572409569,72.2874711988092,74.0,
115,68.00480428549047,72.5048730587749,73.0,
116,68.75060734161649,71.34016450728184,74.0,
117,67.99219459958923,71.33728154567625,72.0,
118,66.69948042215034,71.16499061664588,75.0,
119,67.0737558960395,71.62360723415713,75.0,
120,66.44082961198943,71.38295361706548,74.0,
121,65.7383691589674,71.826618105969,75.0,
122,64.8782244869234,71.30329540227231,74.0,
123,64.87628073709921,71.83113141244517,74.0,
124,64.40547981966175,71.6825061242645,72.0,
125,63.62075634244205,71.13184133855765,73.0,
126,64.35003614085515,71.29689497427792,74.0,
127,63.78400401585644,71.10569452621328,75.0,
128,64.86146434691476,71.68257248614678,76.0,
129,63.43564179120348,71.58905745641225,74.0,
130,63.01723060142331,71.1744929740566,74.0,
131,62.83614883111459,71.65701926585055,75.0,
132,62.44893885545473,71.34943706375712,74.0,
133,62.146325953876016,71.46565748409223,74.0,
134,61.92657929319177,71.1193821745579,74.0,
135,62.871202774992696,70.95358024712938,74.0,
136,63.59818509738417,71.04482346112587,75.0,
137,64.7547071963979,71.41876719742976,74.0,
138,63.068336466117294,71.72118289646556,75.0,
139,61.76580945218444,71.46435597827968,74.0,
140,62.511167094868355,71.36551249520228,75.0,
141,61.767221400948245,71.55785861047646,75.0,
142,61.07850846947786,71.31979029398238,75.0,
143,60.77424760915437,71.20273198957315,75.0,
144,65.02322710278722,73.05176625912974,76.0,
145,69.76722577645066,74.93146154449015,78.0,
146,71.02468940672239,72.3763802046339,73.0,
147,68.76706893304093,72.20906646893359,73.0,
148,64.679973407363,72.01478050891971,70.0,
149,64.06935282758684,71.94362068949702,73.0,
150,62.94595378232859,72.03912813088783,73.0,
151,61.94466862153405,71.69961439867615,72.0,
152,61.23819509734467,71.94253955893173,73.0,
153,61.64915230739931,71.68417497057816,74.0,
154,61.55569907646269,71.71535489311736,76.0,
155,61.22476640666631,71.8546924465612,74.0,
156,61.69023461020297,71.73834652473494,76.0,
157,62.355520505883646,71.79873043583389,77.0,
158,61.03047531452794,71.91389464953825,75.0,
159,61.34574610828579,71.81466439112621,75.0,
160,60.47217102462526,71.8428035413131,76.0,
161,60.58317507332744,71.72027300531292,76.0,
162,61.228083624099845,71.78849062649306,75.0,
163,59.21616290133546,71.66440753465888,74.0,
164,58.89749812549413,72.38506217334799,73.0,
165,58.958339966705964,72.07859861833889,76.0,
166,58.563595626300156,71.73435348784312,75.0,
167,58.886567593523175,71.69733822345172,73.0,
168,60.34390334944375,71.74120992163255,75.0,
169,58.827692094092505,71.86731319175824,75.0,
170,57.63386532211071,71.81066070581474,75.0,
171,57.653082318284845,71.84980515977284,74.0,
172,59.63907755452237,72.05138998630161,77.0,
173,58.33705790405611,72.32364088266004,76.0,
174,57.05379613018139,71.93004329924521,77.0,
175,56.7880844925461,71.99600296840565,76.0,
176,56.82933975711943,71.86870332229083,76.0,
177,57.3023897264383,71.68527350289266,74.0,
178,58.92526889573688,72.13152955115449,76.0,
179,58.37422952875088,71.54409926805519,75.0,
180,57.5291418374433,71.57075689694834,75.0,
181,56.845501617381046,71.46179652032542,75.0,
182,56.32553485928701,71.54619986221248,76.0,
183,56.49353516477439,71.59354009265968,77.0,
184,56.110274732504514,71.62752863224136,75.0,
185,55.98636386923637,71.48939107990843,77.0,
186,55.90272332303608,71.75373534891328,76.0,
187,56.111049524668125,71.57437668218812,77.0,
188,56.428669918142575,71.40826603372408,73.0,
189,58.455768466563136,71.30215334095416,77.0,
190,57.300826929749206,71.99027375081812,76.0,
191,56.13055806057556,71.58702423002364,76.0,
192,56.003387449291345,71.7960059725989,75.0,
193,55.47958574640969,71.68891437098193,74.0,
194,55.528947425466605,71.79375404606678,75.0,
195,55.29080035086008,71.78308534648818,75.0,
196,55.89356853790332,71.67873372296832,73.0,
197,57.327255606487945,72.2110681748202,76.0,
198,56.03516775577009,71.33343905664104,73.0,
199,55.482564638600536,71.50737065612886,73.0,
200,55.432980051542735,71.50303792856728,75.0,
201,54.89981390278542,71.46745397766415,73.0,
202,55.33263877890035,71.36035785798494,74.0,
203,55.335892736298234,70.91400465353784,71.0,
204,57.24428182397945,71.40907906808863,74.0,
205,56.549907489350765,71.68917227805612,73.0,
206,56.26686627520067,71.8816719656389,73.0,
207,57.384953887233706,71.58705484725328,75.0,
208,56.03604668349865,71.53642708400588,74.0,
209,55.67298648567617,71.85314660642408,74.0,
210,54.696711318645065,71.70169629839431,73.0,
211,54.73057428139604,71.831894978662,74.0,
212,54.63543528853214,71.89804028607837,73.0,
213,54.761987754128704,71.79016843192224,74.0,
214,55.01804759109852,71.33762560855867,71.0,
215,57.14390996290771,71.7854857776339,74.0,
216,55.60173210850768,71.74051595168393,73.0,
217,55.42639878315284,71.6697605146956,75.0,
