 epocs = 2000 : eta = 0.00015 : sample div factor = 0.8 : Architecture 57 : 50 : 40 : 1
epoc,error_test,error_validate,total_mispredictions
0,1481.0145092991527,369.5833465383149,349.0,
1,1462.9553946532822,356.7837277020028,339.0,
2,1391.6385555787926,338.16607989332397,336.0,
3,1316.165692670752,320.30563256340616,327.0,
4,1244.4278751259606,304.3869351672931,324.0,
5,1179.71284031488,290.1184913268546,322.0,
6,1122.1119496281626,277.5948032703552,315.0,
7,1071.5824301592356,266.50060232054216,307.0,
8,1026.835489654961,256.6554037337989,300.0,
9,986.7395233523043,248.02797472663585,292.0,
10,951.5650653680983,240.33933531611842,291.0,
11,919.7566560709629,233.5314491045983,284.0,
12,891.6669447086138,227.48441203582533,281.0,
13,867.0121225502108,222.19802648895828,278.0,
14,844.881774065768,217.07635728495399,279.0,
15,824.1935086990708,212.35208978313273,278.0,
16,805.7613763627209,208.0327876899498,272.0,
17,789.2386929551201,204.0903086389012,269.0,
18,774.0263677894461,200.49662252329585,265.0,
19,759.9409058252777,197.19667707349848,261.0,
20,746.8175192591183,194.08191523342026,259.0,
21,734.5956533427017,191.11790052344188,257.0,
22,723.3000649445969,188.33566592361652,256.0,
23,712.845434689033,185.78646947751673,254.0,
24,702.922976464167,183.47194843014856,248.0,
25,693.5078317360465,181.2850015581555,243.0,
26,684.5962083104395,179.2028623612585,243.0,
27,676.0141301517467,177.17144546346293,240.0,
28,667.7121233639997,175.2438800565812,240.0,
29,659.7239781692681,173.4022201420333,237.0,
30,652.0578918165141,171.65876067427715,235.0,
31,644.6944448704267,170.00614491251912,232.0,
32,637.6974881816363,168.44163685653385,228.0,
33,630.9465214911422,166.97363742552773,227.0,
34,624.5225938323101,165.5382333848668,226.0,
35,618.273900508381,164.172696555659,225.0,
36,612.1732710282123,162.75907232249622,224.0,
37,606.0123147463149,161.324218930952,223.0,
38,599.9910654471688,159.95434197039287,222.0,
39,594.2522760293799,158.6371953415021,219.0,
40,588.7368539252794,157.35359462987358,216.0,
41,583.4102232522611,156.1243142836665,213.0,
42,578.2352670173656,154.93016125203638,210.0,
43,573.2041188787141,153.75821662614283,208.0,
44,568.3114322420084,152.64295806719062,207.0,
45,563.5701292864685,151.55799980712825,206.0,
46,558.9554611534279,150.52697916290288,202.0,
47,554.4583543701809,149.53835376180623,202.0,
48,550.1244075015492,148.57593279950666,202.0,
49,545.7575183062276,147.57472382880553,198.0,
50,541.4517536763839,146.6246176660102,197.0,
51,537.2825465830967,145.71984327658606,197.0,
52,533.2141119557187,144.82825675238834,195.0,
53,529.2475943568829,143.96724485056055,195.0,
54,525.3945074601423,143.13174055897522,195.0,
55,521.6285615869049,142.32929308001974,195.0,
56,517.9593915116227,141.54552083962722,195.0,
57,514.3925373209265,140.78693207757118,194.0,
58,510.69031883113644,140.00971799726253,193.0,
59,507.11895216073947,139.25065888126053,189.0,
60,503.64539564989127,138.50937291126456,189.0,
61,500.26425968315965,137.79438820834454,188.0,
62,496.92060957797577,137.0814760130674,188.0,
63,493.6733565292545,136.39831613991234,186.0,
64,490.48114012319263,135.7121213293347,185.0,
65,487.3928537070519,135.045921884919,184.0,
66,484.4058273352849,134.39894022716246,184.0,
67,481.46305800949034,133.7646555287292,183.0,
68,478.5776688406998,133.12865051689775,183.0,
69,475.7529598761552,132.51445449034642,182.0,
70,473.0224478147643,131.92236896708607,181.0,
71,470.3454717266239,131.32838039348474,181.0,
72,467.72811426452404,130.7563464728773,179.0,
73,465.14054722774324,130.1932629488999,179.0,
74,462.6599429461056,129.65920001722898,179.0,
75,460.22163149948034,129.13412151905536,176.0,
76,457.81039156660324,128.62052792585328,173.0,
77,455.46983800980064,128.1135943689775,172.0,
78,453.1296116728552,127.6153766253448,171.0,
79,450.8181883318615,127.10804362528945,171.0,
80,448.5255182797687,126.62286791686155,171.0,
81,446.31552337719626,126.14774752547036,170.0,
82,444.1568934250906,125.68495359047861,167.0,
83,442.05084350560196,125.24957891899003,165.0,
84,439.95553574416493,124.82584296702288,163.0,
85,437.95025762351696,124.42233837959515,164.0,
86,435.9502293859871,124.01440462199344,164.0,
87,434.048785309409,123.63004845222865,164.0,
88,432.21125072265045,123.25175002332023,162.0,
89,430.3855858775064,122.87516077461305,161.0,
90,428.48084595854687,122.44372770395296,161.0,
91,426.563245809361,122.03275950502889,161.0,
92,424.69823486627973,121.64163971615207,160.0,
93,422.92387915802715,121.27263110196158,160.0,
94,421.15011904021645,120.91197985508488,159.0,
95,419.4895784660277,120.56859047942226,160.0,
96,417.85866693147295,120.2319351790766,159.0,
97,416.30442041274296,119.90735648828193,158.0,
98,414.7359020661443,119.59116184370703,158.0,
99,413.2135556326885,119.27871709747198,158.0,
100,411.73732043361196,118.98296724127275,158.0,
101,410.32019022827046,118.7081474802955,158.0,
102,408.94046224076817,118.42619894468532,157.0,
103,407.5792854065147,118.15212244146574,157.0,
104,406.2322568736798,117.88771498889582,156.0,
105,404.88583383658437,117.61392471814335,153.0,
106,403.6000797680598,117.36208005387333,153.0,
107,402.31710976670183,117.1087851641619,151.0,
108,401.0449889801722,116.79642454557558,151.0,
